depth	min	max	median	wmean
568.5	11695.3	12544.2	12126.8	12130.2
569.5	11720.3	12560.3	12160.3	12159.6
570.5	11740.2	12573	12193	12188.5
571.5	11765.5	12585.3	12227.3	12218.2
572.5	11787.1	12600.7	12262.9	12247.2
573.5	11804.5	12617.3	12297.3	12276.1
574.5	11824.3	12635.6	12332.2	12305.7
575.5	11839.4	12654.5	12366.4	12334.8
576.5	11857.4	12674.7	12398	12364.4
577.5	11878.6	12699.2	12430.2	12393.5
578.5	11892.2	12728.6	12459.3	12422.5
579.5	11908.1	12764.3	12487.7	12451.4
580.5	11966.1	12784.9	12517.5	12483.6
581.5	12063	12794.1	12548.9	12520.3
582.5	12158.3	12799.4	12580.7	12556.3
583.5	12250.2	12807.8	12611.2	12592.8
584.5	12348.4	12815.1	12643.7	12629.3
585.5	12433.3	12827.5	12674.7	12665.7
586.5	12490.9	12842.6	12708.4	12702.1
587.5	12545.1	12864.8	12746	12738.9
588.5	12584.6	12901.2	12783.8	12775.9
589.5	12614.7	12953	12816.9	12812.8
590.5	12650	13018	12846.7	12848.9
591.5	12679.9	13104.1	12875.2	12885.5
592.5	12693.5	13198.9	12903.9	12921.4
593.5	12705.4	13294.6	12932.9	12956.8
594.5	12715.7	13389.1	12962.9	12993
595.5	12725	13483.5	12989.5	13028.6
596.5	12736.1	13576.4	13020.4	13064.5
597.5	12741.8	13671.6	13051.6	13100.3
598.5	12746.8	13769.2	13082.8	13136.6
599.5	12758.7	13863.5	13110.7	13172.2
600.5	12781.9	13925.4	13148.8	13209.2
601.5	12820.5	13948.5	13186.7	13247.2
602.5	12849.6	13970.6	13230	13284.8
603.5	12874.5	14002.5	13273.9	13323.2
604.5	12900.7	14032.2	13319.2	13361.6
605.5	12918.7	14063.8	13363	13399.4
606.5	12938.3	14092.2	13408.6	13438.1
607.5	12955.9	14121.7	13452.3	13475.5
608.5	12973.1	14152.2	13495.2	13513.5
609.5	12989.1	14188.8	13535.4	13551.2
